"County","State","Years_of_Potential_Life_Lost_Rate","Fair_Poor","Physically_Unhealthy_Days","Mentally_Unhealthy_Days","LBW","Smokers","Obese","Food_Environment_Index","Physically_Inactive","With_Access","Excessive_Drinking","Alcohol_Impaired","Chlamydia_Rate","Teen_Birth_Rate","Uninsured","PCP_Rate","Dentist_Rate","MHP_Rate","Preventable_Hosp__Rate","Screened","Vaccinated","Graduation_Rate","Population_25_44","Some_College","Unemployed","Children_in_Poverty","Income_Ratio","Single_Parent_Households","Association_Rate","Violent_Crime_Rate","Injury_Death_Rate","Average_Daily_PM2_5","Presence_of_violation","Severe_Housing_Problems","Drive_Alone","Long_Commute_Drives_Alone"
"Bamberg_South Carolina","South Carolina",12054.009135,24.141653621,4.7029787053,4.7263453166,9.8901098901,19.549190611,38,5.3,30.9,6.8743353975,13.594127687,42.857142857,732.5,23.271130626,12.376008158,34.64043,55.62895,41.72172,5124,40,23,82.24852071,3163,54.979449889,7.4187380497,36.2,5.6443089431,47.78308322,18.013024803,419.02718648,87.474935067,10.2,"No",16.554054054,81.303063861,35.9
"Barnwell_South Carolina","South Carolina",11082.966425,22.89520992,4.5287458874,4.5520762383,10.569948187,18.157008078,39,7,31,55.691613987,15.514777193,50,626,43.680485339,10.918683335,13.96453,23.42469,140.54814,6213,39,36,86.166007905,4756,53.048780488,6.0381093789,39.8,5.8467486275,53.56119916,17.688404785,730.14419776,92.054754168,10.4,"No",14.140203715,86.974464792,40.1
"Beaufort_South Carolina","South Carolina",5709.0481704,12.59128744,3.2982008095,3.8492785396,8.4511997748,12.537424806,23.1,7.9,16.1,83.078658473,21.00468787,34.862385321,459.9,27.657405047,14.056267779,73.16447,104.36514,141.29434,3843,50,48,84.036568214,39151,64.905110981,4.0362193674,18.3,4.2180685358,33.531479523,9.7734631366,388.52511178,63.748785207,10.1,"No",17.832512315,76.362337878,28.4
"Berkeley_South Carolina","South Carolina",7512.7775004,17.414918608,3.8406798267,4.4043187896,8.4499461787,17.657959411,34.7,7.8,23.7,76.951018595,21.695403548,35.087719298,273.2,26.709222241,11.210924262,34.13973,26.6132,96.81697,4039,46,44,83.479061206,56844,64.592569137,3.8201357006,17.8,3.9048067505,32.770654115,6.7331126895,337.9659031,72.471836585,9.9,"Yes",14.805157178,82.512220288,44.3
"Calhoun_South Carolina","South Carolina",11289.425825,19.269111607,4.2306542175,4.2662895412,9.6153846154,16.497363225,34.2,7.8,31.6,16.487644152,14.764609659,28.260869565,297.7,27.472527473,12.451125206,13.51717,34.00435,20.40261,4320,48,27,90.099009901,3199,54.642075649,5.1839953271,26.6,6.0654535391,42.713567839,14.868883482,312.61680655,80.847279489,10.2,"No",16.583747927,85.995482414,46.4
"Charleston_South Carolina","South Carolina",7189.7492275,14.987450226,3.828321119,4.2219659067,9.1326485564,15.909691653,26.5,7.6,19.9,79.984809071,22.460096166,34.642857143,746.5,20.4013734,12.513943539,124.84741,105.12209,327.32327,3732,45,47,84.755332497,115457,73.438596187,3.481557747,20.4,5.3184325744,38.555487559,11.047104045,426.11384432,74.188486153,8.9,"Yes",19.926361303,78.818493238,32.5
"Cherokee_South Carolina","South Carolina",10413.262988,21.171307346,4.660159139,4.9036181607,11.153519932,19.712944843,40.8,7.3,33.3,47.372700661,15.459136679,45.454545455,690.5,49.506465682,11.880207548,40.60304,22.76508,52.5348,5391,43,46,84.0625,13834,49.103657655,4.9182369055,26.9,5.4078975303,37.622419768,17.300427215,389.64727602,77.699802025,10.5,"No",13.008526188,87.25513224,31
"Chester_South Carolina","South Carolina",11108.790379,21.459710025,4.5921132659,4.6157793565,11.575443787,19.685297903,33.8,6.4,31.5,55.971635486,15.448575942,50.724637681,530,47.88213628,11.790861699,24.85939,15.4794,30.95879,6673,35,46,85.793871866,7261,47.624294174,6.0035314891,30.1,5.8084932928,43.652291105,16.158602902,688.79245108,103.9192399,10.3,"No",15.139281389,84.599425471,47.9
"Chesterfield_South Carolina","South Carolina",10964.328284,24.886152604,4.59986623,4.8563020906,10.335195531,23.289944118,37.8,7.1,30.9,57.718149527,16.074727625,36.538461538,515,40.437998271,13.905821599,34.77278,30.46923,102.28954,5734,40,41,90.180878553,10805,42.498843128,4.3522501272,32.6,4.9304177634,43.310875842,12.605133332,439.9700907,80.764220582,10,"No",16.426193119,84.864289516,33.2
"Clarendon_South Carolina","South Carolina",9744.8667171,21.970209624,4.4743291936,4.8202664588,10.270498732,20.382249896,42.3,7,30.2,43.295873724,14.955821382,28.205128205,793.5,33.665105386,13.959930943,32.39963,26.42629,85.15136,5297,39,39,81.318681319,7252,50.110314396,5.9718309859,34.8,5.1246470629,48.924889543,12.959853907,454.58557684,86.34310518,10.1,"No",14.43768997,82.11332579,40.5
"Colleton_South Carolina","South Carolina",12825.246678,22.445060919,4.7262942303,4.8325978945,11.327879169,19.764726202,40.7,6.6,33.1,44.392162913,15.532824279,34.408602151,718.2,45.376712329,13.435482252,47.4646,31.90556,103.69307,6326,38,31,86.538461538,8508,49.729666197,4.796960342,37.1,4.2614602957,45.819516817,11.075073175,807.93047546,112.80345719,10,"Yes",15.837563452,81.518494484,48.5
"Darlington_South Carolina","South Carolina",12045.520541,21.187508672,4.4166354261,4.4724317053,12.466075629,19.554265472,39.5,6.7,29.7,65.45041569,14.724454947,37.894736842,855.7,40.184786736,12.36760935,52.05699,31.2198,123.39255,6711,40,32,89.927184466,15570,53.834296724,5.306738183,33,5.1865877447,51.38,14.129755778,675.85593597,93.551739145,10.3,"No",15.142911225,84.06315389,26.4
"Dillon_South Carolina","South Carolina",13827.210499,28.637496737,5.1227224976,5.0853068211,11.888586957,21.821027844,39.2,6.1,34.4,31.513941738,13.553025011,29.166666667,842,54.323725055,14.458452268,55.09106,29.34846,104.35009,5743,37,41,88.341968912,7499,41.15215362,5.7022427231,42.1,5.7815163751,51.006036217,9.0738220235,913.61592807,83.809327333,10.1,"No",17.455492835,73.305160942,30.6
"Dorchester_South Carolina","South Carolina",7502.9146901,15.837368287,4.2030602674,4.5553968342,8.3939038687,15.300501398,32.9,8.1,24.2,76.61015708,18.010671144,35.087719298,491.2,23.34563062,9.955463787,39.01855,64.55489,126.55315,5037,43,43,86.410635155,41801,66.747207005,3.8377119158,13.9,4.1373794492,32.967849842,6.0478757649,461.31606646,70.845774301,10,"No",15.051586154,85.424813367,49.7
"Edgefield_South Carolina","South Carolina",7630.783454,18.00672862,3.8861110813,4.0228413772,8.7186261559,16.925642836,38.9,7.8,27.7,36.709282935,17.376198174,33.333333333,501.6,29.747832939,12.605304212,26.5574,22.4778,52.44821,5780,42,38,88.988095238,6846,44.200993281,4.5656910107,23.5,6.0221037037,45.589129994,12.899309508,98.651135437,64.124809512,10.3,"Yes",12.039582188,81.891839125,37.4
