County;State;Years_of_Potential_Life_Lost_Rate;Fair_Poor;Physically_Unhealthy_Days;Mentally_Unhealthy_Days;LBW;Smokers;With_Access;Excessive_Drinking;Alcohol_Impaired;Chlamydia_Rate;Teen_Birth_Rate;Uninsured;PCP_Rate;Dentist_Rate;MHP_Rate;Preventable_Hosp__Rate;Screened;Vaccinated;Graduation_Rate;Population_25_44;Some_College;Unemployed
Ottawa_Michigan;Michigan;4491.5387306;12.941237663;3.7526245895;3.6391547705;5.9579738618;14.764767391;84.139559744;20.94326484;24.038461538;291.1;12.147474604;5.1028279814;63.06466;54.47251;165.8618;3014;45;52;91.695178849;65483;70.583204801;3.3461550688
Presque Isle_Michigan;Michigan;9298.9569043;15.276776719;4.1474838742;4.1196267604;6.8554396423;16.594061609;77.923145933;17.931029715;50;140.2;20.346320346;8.0601092896;15.67152;31.27199;23.45399;3223;43;38;86.7190625;2106;59.021842355;9.4990366089
Roscommon_Michigan;Michigan;9492.4085533;16.983038658;4.4167865834;4.354315687;7.2139303483;20.010273219;99.357846947;16.323008949;40.909090909;113;32.320441989;7.9752321981;33.75527;41.84976;66.95961;4188;42;33;82.378854626;3849;58.898415173;8.9103933643
Saginaw_Michigan;Michigan;8586.305777;18.011961966;4.2416808824;4.0675081881;9.5485341607;18.495058544;72.558687909;19.270305357;30;549.9;28.341687552;6.017860566;81.63223;72.94174;238.62369;6203;49;45;83.814443919;44219;65.164295891;5.5234879423
St. Clair_Michigan;Michigan;8119.8102167;15.86287996;4.2564874191;3.8231159267;7.4858499178;19.720251068;72.687684004;22.575939946;29.411764706;270.8;23.631664158;6.5816498575;49.50278;56.47945;240.35143;5721;37;44;82.389393805;35707;63.766208306;4.9695041103
St. Joseph_Michigan;Michigan;7714.2811357;16.839233216;4.1375405676;4.1470879776;7.7606109039;19.567469362;53.800473122;20.136560305;34.782608696;322.9;37.366678926;8.2814945619;29.57948;36.09694;172.28083;4781;43;42;88.888888889;14173;50.32103295;4.297348813
Sanilac_Michigan;Michigan;8007.0969707;15.94538819;4.1459992762;4.2937739701;6.9565217391;18.160182751;38.727559493;21.053829209;30;197.7;22.294022617;8.2137479642;26.56427;29.07752;142.96445;5157;40;40;88.152590361;8558;53.92615097;6.0132600093
Schoolcraft_Michigan;Michigan;5166.1721051;17.382750069;4.6694649951;4.6116963982;7.8723404255;20.164187209;75.474366529;17.631916208;20;293.6;32.401524778;9.0645765889;87.48906;49.69561;211.20636;4435;53;12;89.887977528;1420;48.873239437;8.5459940653
Shiawassee_Michigan;Michigan;7030.2179284;14.567701639;3.97533232;3.8453023327;7.5697211155;19.794363125;69.172517269;22.860603091;39.473684211;278.3;21.427704261;5.9376395962;49.59594;42.36917;137.33454;4159;46;47;86.734546485;15676;64.735902016;5.2587621178
Tuscola_Michigan;Michigan;7406.5062972;15.875805735;4.063994627;4.0442074989;6.4901349948;18.971243095;59.477112455;21.553418524;37.209302326;258.5;22.977705646;6.2703544626;33.74705;36.0094;259.64673;4848;44;40;83.791635311;11768;55.336505778;6.3854569658
Van Buren_Michigan;Michigan;8096.8065631;17.36444182;4.3755782802;4.2749768775;7.1054718477;19.731419393;66.042906974;20.049039511;29.113924051;323.7;30.678431602;8.1785529381;46.52832;38.48553;116.78367;3431;40;38;83.303676732;16931;57.952867521;5.8208071294
Washtenaw_Michigan;Michigan;5018.0335524;11.4678049;3.1265985696;3.7901357514;7.6130887611;12.840323472;91.196405939;24.648806071;28.387096774;470.6;7.3540859595;4.8702964222;173.83722;173.54547;494.52298;3717;45;55;88.400377198;92486;85.236684471;3.599805751
Wayne_Michigan;Michigan;10478.539198;18.836051008;4.3109552757;4.6401351299;10.580325765;20.458506534;93.812040532;19.967276919;26.867335563;800.4;31.948689851;7.0554812018;70.36835;68.65813;272.86475;7770;38;43;83.312204233;445456;60.586455228;5.4078886005
Wexford_Michigan;Michigan;8034.6898837;16.36049164;4.2838274268;4.2936470946;6.8571428571;21.7104765;92.857797464;19.869155036;23.076923077;236.3;36.341793062;7.7069564243;93.47767;72.12405;213.36699;4814;42;46;79.019073569;7424;57.933728448;5.6848944234
Aitkin_Minnesota;Minnesota;9092.5495213;13.426900564;3.3902644377;3.1569893509;6.2653562654;15.621929742;49.456857178;18.592386929;19.047619048;140.1;17.090770984;6.8572514009;83.42424;18.95256;56.85767;8855;54;27;91.558441558;2508;61.92185008;6.2265462126
Anoka_Minnesota;Minnesota;5008.5108538;10.155535988;2.7166539528;2.8877304609;6.3990951467;15.121705438;95.235518855;23.160172677;27.631578947;345.5;12.057856673;4.4668202919;51.45148;61.47314;144.00651;6679;41;47;80.175517552;91378;72.831534943;3.3379750983
Becker_Minnesota;Minnesota;6447.6892656;14.26095729;3.0218168406;3.0969637588;6.4798598949;15.906656871;66.30260891;23.148763914;42.857142857;362.4;22.481382605;6.8774140323;85.96668;58.65447;187.69429;6148;50;46;86.246418338;7193;66.606422911;4.152993706
Beltrami_Minnesota;Minnesota;8457.1422059;15.803324371;3.7277069721;3.4967462727;6.1628149073;19.777056107;79.802889159;23.156794209;36;427;35.173384093;8.7321964271;82.41877;70.94791;337.54004;4984;45;44;66.174055829;10554;65.861284821;4.8688980693
Benton_Minnesota;Minnesota;5661.3292243;12.292071159;3.119293059;3.1621373659;6.2404482934;15.784847391;73.576760032;23.643790643;29.62962963;367.7;17.666497204;4.1492669924;20.004;35.05521;7.51183;7135;53;43;90.044247788;11459;69.089798412;4.011227816
Big Stone_Minnesota;Minnesota;4736.2669126;11.773973216;3.0152467703;3.0626031588;5.9701492537;13.781621632;69.975327387;20.37416752;25;138.9;17.167381974;5.6228140974;118.81188;19.89654;19.89654;7810;59;42;93.421052632;931;62.513426423;4.386302424
Blue Earth_Minnesota;Minnesota;5564.5559261;13.315199224;3.1010728137;3.2649693563;6.6679702777;16.249894788;83.728305188;25.930209222;18.75;539.6;7.9320379236;4.7881355932;87.2955;88.0952;259.80619;6334;49;57;86.107634543;15759;73.84986357;2.908828506
Brown_Minnesota;Minnesota;4703.0374734;11.640480059;2.663632953;2.8240714833;5.7406458227;13.090127858;84.486154559;21.930061197;7.6923076923;268.6;16.966940703;3.7409847974;122.37969;55.56879;198.45995;5462;59;49;85.512367491;5304;72.341628959;3.7172666344
Carlton_Minnesota;Minnesota;6857.2672283;13.320369508;3.4098141871;3.2177114603;25.jún;16.685314925;73.059967219;21.201902257;45.454545455;323.3;20.099079972;5.0434166224;67.15541;53.52414;132.40183;7279;38;52;89.121338912;8697;68.805335173;4.8000448079
Carver_Minnesota;Minnesota;3572.087367;9.7206403278;2.5405757019;2.5987852448;5.8830845771;11.635391331;96.542255223;26.286529602;36;171.2;5.506824529;2.909419119;82.78311;47.00399;130.24021;7291;39;51;92.210857592;25020;84.764188649;2.9199629765
Cass_Minnesota;Minnesota;10313.041221;14.582333608;3.426301754;3.2638676;7.3561228905;17.797432623;65.680680505;19.554987475;45.161290323;334.4;39.50617284;7.8117756143;44.83841;71.53807;78.35122;5926;45;35;71.826625387;5328;63.325825826;5.8540607393
Chippewa_Minnesota;Minnesota;5767.9666364;12.11180251;2.8857291324;3.027171315;5.1528384279;15.146711814;67.116791255;22.125362639;21.428571429;313.8;31.777956557;6.2066063539;74.17786;41.73623;58.43072;3693;45;53;66.12244898;2535;65.009861933;4.0321423447
Chisago_Minnesota;Minnesota;5152.8313225;11.014795319;2.795002461;2.8844917442;6.848287928;15.891738855;74.700762707;23.272157054;21.875;228.4;13.707313208;3.8581330058;49.31687;41.5853;106.67535;6284;40;47;83.359497645;13528;65.079834418;3.95100884
Clay_Minnesota;Minnesota;6084.9548275;12.164541032;3.0231609307;3.014943404;6.7005076142;15.266677146;87.070967305;24.715902968;38.888888889;447.7;10.893136315;4.2194905784;23.85686;51.9121;234.39098;6235;52;49;79.602649007;15818;77.797445948;3.2111498258
Clearwater_Minnesota;Minnesota;8347.4266343;15.741548394;3.7591380109;3.3912164514;5.0980392157;16.846556507;65.186889017;19.550953936;50;147.7;26.180990324;8.0598733448;45.31551;33.79139;42.14371;4765;41;28;81.818181818;1897;56.931997891;8.6806305334
Cook_Minnesota;Minnesota;5439.6568298;12.526035702;3.1599363842;3.1799290249;8.5798816568;15.173463147;98.666924266;19.907009366;100;134.8;31.777956557;7.3940020683;170.26107;55.57614;92.6269;4081;43;32;90.476190476;1084;78.505535055;3.7257357545
Cottonwood_Minnesota;Minnesota;6272.5472163;13.101020683;3.2037187852;3.0922130503;5.9154929577;15.134212491;78.41191067;20.07243568;53.846153846;138.5;27.027027027;5.9262662226;61.02877;53.12085;106.2417;2269;53;38;89.743589744;2338;60.564585115;5.3406671398
Crow Wing_Minnesota;Minnesota;5805.8707435;12.32321596;3.2781590594;2.9689151772;5.8905472637;17.479655444;70.3152;22.668394921;20;260.1;24.473203916;5.2124840713;100.09384;80.71526;249.90687;6075;51;47;81.411126187;13987;71.82383642;4.4634611833
Dakota_Minnesota;Minnesota;4400.0714112;10.544155711;2.7873991002;2.9504860086;6.5216795859;13.360235383;97.597553142;23.096169472;24.050632911;339.5;10.610684536;3.972148669;65.87047;67.1012;159.33572;5349;46;53;85.025728988;109820;78.009470042;3.0199085003
Dodge_Minnesota;Minnesota;4663.4896585;10.84338186;2.6074224412;2.7503302267;5.3944315545;14.364683054;71.235127197;23.8786127;28.571428571;353.6;13.929193268;3.9358021891;43.88959;19.26597;24.08246;5787;47;52;95.473251029;5048;69.393819334;3.3971004547
Douglas_Minnesota;Minnesota;6254.2641207;10.872156878;2.7372553679;3.1131526663;6.6919627458;13.630405018;80.441000861;22.246993218;36.363636364;186.1;16.880093132;4.5492314084;114.80137;69.19494;167.66467;6280;52;49;83.526682135;8145;77.777777778;3.185977824
Faribault_Minnesota;Minnesota;7851.1019465;12.617538716;2.9826958279;3.0365483324;5.5715658021;14.447435283;70.425341854;20.466567494;7.1428571429;185.1;18.027210884;5.7202584569;57.4094;43.52873;36.27394;6845;41;51;81.366459627;2836;62.976022567;4.2156185211
Fillmore_Minnesota;Minnesota;5367.8868488;11.419411407;2.8476106414;2.9450078455;4.9307479224;14.00933699;93.458257452;21.63252944;22.222222222;124.8;11.157601116;7.6254180602;38.0898;47.66444;14.29933;4305;51;55;93.434343434;4462;66.270730614;3.4892804444
